base_key,split,exco_out,relationship_out,has_exco,has_relationship,src_exco_member,src_relationship_member
ADE-Affordance/testing/a/abbey/ADE_train_00000975,testing,./ADE-Affordance-flat/testing/ADE_train_00000975_exco.json,./ADE-Affordance-flat/testing/ADE_train_00000975_relationship.txt,1,1,ADE-Affordance/testing/a/abbey/ADE_train_00000975_exco.json,ADE-Affordance/testing/a/abbey/ADE_train_00000975_relationship.txt
ADE-Affordance/testing/a/access_road/ADE_train_00001010,testing,./ADE-Affordance-flat/testing/ADE_train_00001010_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001010_relationship.txt,1,1,ADE-Affordance/testing/a/access_road/ADE_train_00001010_exco.json,ADE-Affordance/testing/a/access_road/ADE_train_00001010_relationship.txt
ADE-Affordance/testing/a/access_road/ADE_train_00001023,testing,./ADE-Affordance-flat/testing/ADE_train_00001023_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001023_relationship.txt,1,1,ADE-Affordance/testing/a/access_road/ADE_train_00001023_exco.json,ADE-Affordance/testing/a/access_road/ADE_train_00001023_relationship.txt
ADE-Affordance/testing/a/air_base/ADE_train_00001024,testing,./ADE-Affordance-flat/testing/ADE_train_00001024_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001024_relationship.txt,1,1,ADE-Affordance/testing/a/air_base/ADE_train_00001024_exco.json,ADE-Affordance/testing/a/air_base/ADE_train_00001024_relationship.txt
ADE-Affordance/testing/a/airfield/ADE_train_00001035,testing,./ADE-Affordance-flat/testing/ADE_train_00001035_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001035_relationship.txt,1,1,ADE-Affordance/testing/a/airfield/ADE_train_00001035_exco.json,ADE-Affordance/testing/a/airfield/ADE_train_00001035_relationship.txt
ADE-Affordance/testing/a/airlock/ADE_train_00001044,testing,./ADE-Affordance-flat/testing/ADE_train_00001044_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001044_relationship.txt,1,1,ADE-Affordance/testing/a/airlock/ADE_train_00001044_exco.json,ADE-Affordance/testing/a/airlock/ADE_train_00001044_relationship.txt
ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001055,testing,./ADE-Affordance-flat/testing/ADE_train_00001055_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001055_relationship.txt,1,1,ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001055_exco.json,ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001055_relationship.txt
ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001057,testing,./ADE-Affordance-flat/testing/ADE_train_00001057_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001057_relationship.txt,1,1,ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001057_exco.json,ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001057_relationship.txt
ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001068,testing,./ADE-Affordance-flat/testing/ADE_train_00001068_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001068_relationship.txt,1,1,ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001068_exco.json,ADE-Affordance/testing/a/airplane_cabin/ADE_train_00001068_relationship.txt
ADE-Affordance/testing/a/airport_terminal/ADE_train_00001125,testing,./ADE-Affordance-flat/testing/ADE_train_00001125_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001125_relationship.txt,1,1,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001125_exco.json,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001125_relationship.txt
ADE-Affordance/testing/a/airport_terminal/ADE_train_00001154,testing,./ADE-Affordance-flat/testing/ADE_train_00001154_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001154_relationship.txt,1,1,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001154_exco.json,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001154_relationship.txt
ADE-Affordance/testing/a/airport_terminal/ADE_train_00001165,testing,./ADE-Affordance-flat/testing/ADE_train_00001165_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001165_relationship.txt,1,1,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001165_exco.json,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001165_relationship.txt
ADE-Affordance/testing/a/airport_terminal/ADE_train_00001176,testing,./ADE-Affordance-flat/testing/ADE_train_00001176_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001176_relationship.txt,1,1,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001176_exco.json,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001176_relationship.txt
ADE-Affordance/testing/a/airport_terminal/ADE_train_00001178,testing,./ADE-Affordance-flat/testing/ADE_train_00001178_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001178_relationship.txt,1,1,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001178_exco.json,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001178_relationship.txt
ADE-Affordance/testing/a/airport_terminal/ADE_train_00001185,testing,./ADE-Affordance-flat/testing/ADE_train_00001185_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001185_relationship.txt,1,1,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001185_exco.json,ADE-Affordance/testing/a/airport_terminal/ADE_train_00001185_relationship.txt
ADE-Affordance/testing/a/airport_ticket_counter/ADE_train_00001204,testing,./ADE-Affordance-flat/testing/ADE_train_00001204_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001204_relationship.txt,1,1,ADE-Affordance/testing/a/airport_ticket_counter/ADE_train_00001204_exco.json,ADE-Affordance/testing/a/airport_ticket_counter/ADE_train_00001204_relationship.txt
ADE-Affordance/testing/a/alcove/ADE_train_00001214,testing,./ADE-Affordance-flat/testing/ADE_train_00001214_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001214_relationship.txt,1,1,ADE-Affordance/testing/a/alcove/ADE_train_00001214_exco.json,ADE-Affordance/testing/a/alcove/ADE_train_00001214_relationship.txt
ADE-Affordance/testing/a/alcove/ADE_train_00001230,testing,./ADE-Affordance-flat/testing/ADE_train_00001230_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001230_relationship.txt,1,1,ADE-Affordance/testing/a/alcove/ADE_train_00001230_exco.json,ADE-Affordance/testing/a/alcove/ADE_train_00001230_relationship.txt
ADE-Affordance/testing/a/alley/ADE_train_00001252,testing,./ADE-Affordance-flat/testing/ADE_train_00001252_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001252_relationship.txt,1,1,ADE-Affordance/testing/a/alley/ADE_train_00001252_exco.json,ADE-Affordance/testing/a/alley/ADE_train_00001252_relationship.txt
ADE-Affordance/testing/a/alley/ADE_train_00001293,testing,./ADE-Affordance-flat/testing/ADE_train_00001293_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001293_relationship.txt,1,1,ADE-Affordance/testing/a/alley/ADE_train_00001293_exco.json,ADE-Affordance/testing/a/alley/ADE_train_00001293_relationship.txt
ADE-Affordance/testing/a/alley/ADE_train_00001302,testing,./ADE-Affordance-flat/testing/ADE_train_00001302_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001302_relationship.txt,1,1,ADE-Affordance/testing/a/alley/ADE_train_00001302_exco.json,ADE-Affordance/testing/a/alley/ADE_train_00001302_relationship.txt
ADE-Affordance/testing/a/amphitheater/ADE_train_00001328,testing,./ADE-Affordance-flat/testing/ADE_train_00001328_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001328_relationship.txt,1,1,ADE-Affordance/testing/a/amphitheater/ADE_train_00001328_exco.json,ADE-Affordance/testing/a/amphitheater/ADE_train_00001328_relationship.txt
ADE-Affordance/testing/a/amusement_arcade/ADE_train_00001335,testing,./ADE-Affordance-flat/testing/ADE_train_00001335_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001335_relationship.txt,1,1,ADE-Affordance/testing/a/amusement_arcade/ADE_train_00001335_exco.json,ADE-Affordance/testing/a/amusement_arcade/ADE_train_00001335_relationship.txt
ADE-Affordance/testing/a/amusement_park/ADE_train_00001370,testing,./ADE-Affordance-flat/testing/ADE_train_00001370_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001370_relationship.txt,1,1,ADE-Affordance/testing/a/amusement_park/ADE_train_00001370_exco.json,ADE-Affordance/testing/a/amusement_park/ADE_train_00001370_relationship.txt
ADE-Affordance/testing/a/amusement_park/ADE_train_00001372,testing,./ADE-Affordance-flat/testing/ADE_train_00001372_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001372_relationship.txt,1,1,ADE-Affordance/testing/a/amusement_park/ADE_train_00001372_exco.json,ADE-Affordance/testing/a/amusement_park/ADE_train_00001372_relationship.txt
ADE-Affordance/testing/a/apartment_building/outdoor/ADE_train_00001459,testing,./ADE-Affordance-flat/testing/ADE_train_00001459_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001459_relationship.txt,1,1,ADE-Affordance/testing/a/apartment_building/outdoor/ADE_train_00001459_exco.json,ADE-Affordance/testing/a/apartment_building/outdoor/ADE_train_00001459_relationship.txt
ADE-Affordance/testing/a/apse/outdoor/ADE_train_00001483,testing,./ADE-Affordance-flat/testing/ADE_train_00001483_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001483_relationship.txt,1,1,ADE-Affordance/testing/a/apse/outdoor/ADE_train_00001483_exco.json,ADE-Affordance/testing/a/apse/outdoor/ADE_train_00001483_relationship.txt
ADE-Affordance/testing/a/aqueduct/ADE_train_00001513,testing,./ADE-Affordance-flat/testing/ADE_train_00001513_exco.json,./ADE-Affordance-flat/testing/ADE_train_00001513_relationship.txt,1,1,ADE-Affordance/testing/a/aqueduct/ADE_train_00001513_exco.json,ADE-Affordance/testing/a/aqueduct/ADE_train_00001513_relationship.txt
